20/09/1///Reg.-Bez. Oberbayern
40/09/1/61//Ingolstadt, Stadt
60/09/1/61/000/Ingolstadt, Stadt
40/09/1/62//München, Landeshauptstadt
60/09/1/62/000/München, Landeshauptstadt
40/09/1/63//Rosenheim, Stadt
60/09/1/63/000/Rosenheim, Stadt
40/09/1/71//Altötting
60/09/1/71/111/Altötting, Stadt
60/09/1/71/112/Burghausen, Stadt
60/09/1/71/113/Burgkirchen a.d.Alz
60/09/1/71/114/Emmerting
60/09/1/71/115/Erlbach
60/09/1/71/116/Feichten a.d.Alz
60/09/1/71/117/Garching a.d.Alz
60/09/1/71/118/Haiming
60/09/1/71/119/Halsbach
60/09/1/71/121/Kastl
60/09/1/71/122/Kirchweidach
60/09/1/71/123/Marktl, Markt
60/09/1/71/124/Mehring
60/09/1/71/125/Neuötting, Stadt
60/09/1/71/126/Perach
60/09/1/71/127/Pleiskirchen
60/09/1/71/129/Reischach
60/09/1/71/130/Stammham
60/09/1/71/131/Teising
60/09/1/71/132/Töging a.Inn, Stadt
60/09/1/71/133/Tüßling, Markt
60/09/1/71/134/Tyrlaching
60/09/1/71/135/Unterneukirchen
60/09/1/71/137/Winhöring
40/09/1/72//Berchtesgadener Land
60/09/1/72/111/Ainring
60/09/1/72/112/Anger
60/09/1/72/114/Bad Reichenhall, Stadt
60/09/1/72/115/Bayerisch Gmain
60/09/1/72/116/Berchtesgaden, Markt
60/09/1/72/117/Bischofswiesen
60/09/1/72/118/Freilassing, Stadt
60/09/1/72/122/Laufen, Stadt
60/09/1/72/124/Marktschellenberg, Markt
60/09/1/72/128/Piding
60/09/1/72/129/Ramsau b.Berchtesgaden
60/09/1/72/130/Saaldorf-Surheim
60/09/1/72/131/Schneizlreuth
60/09/1/72/132/Schönau a.Königssee
60/09/1/72/134/Teisendorf, Markt
60/09/1/72/444/Berchtesgadener Land, 4 gemfr. Gebiete
40/09/1/73//Bad Tölz-Wolfratshausen
60/09/1/73/111/Bad Heilbrunn
60/09/1/73/112/Bad Tölz, Stadt
60/09/1/73/113/Benediktbeuern
60/09/1/73/115/Bichl
60/09/1/73/118/Dietramszell
60/09/1/73/120/Egling
60/09/1/73/123/Eurasburg
60/09/1/73/124/Gaißach
60/09/1/73/126/Geretsried, Stadt
60/09/1/73/127/Greiling
60/09/1/73/130/Icking
60/09/1/73/131/Jachenau
60/09/1/73/133/Kochel a.See
60/09/1/73/134/Königsdorf
60/09/1/73/135/Lenggries
60/09/1/73/137/Münsing
60/09/1/73/140/Reichersbeuern
60/09/1/73/141/Sachsenkam
60/09/1/73/142/Schlehdorf
60/09/1/73/145/Wackersberg
60/09/1/73/147/Wolfratshausen, Stadt
60/09/1/73/444/Bad Tölz-Wolfratshausen, 2 gemfr. Gebiete
40/09/1/74//Dachau
60/09/1/74/111/Altomünster, Markt
60/09/1/74/113/Bergkirchen
60/09/1/74/115/Dachau, Stadt
60/09/1/74/118/Erdweg
60/09/1/74/121/Haimhausen
60/09/1/74/122/Hebertshausen
60/09/1/74/126/Karlsfeld
60/09/1/74/131/Markt Indersdorf, Markt
60/09/1/74/135/Odelzhausen
60/09/1/74/136/Petershausen
60/09/1/74/137/Pfaffenhofen a.d.Glonn
60/09/1/74/141/Röhrmoos
60/09/1/74/143/Schwabhausen
60/09/1/74/146/Sulzemoos
60/09/1/74/147/Hilgertshausen-Tandern
60/09/1/74/150/Vierkirchen
60/09/1/74/151/Weichs
40/09/1/75//Ebersberg
60/09/1/75/111/Anzing
60/09/1/75/112/Aßling
60/09/1/75/113/Baiern
60/09/1/75/114/Bruck
60/09/1/75/115/Ebersberg, Stadt
60/09/1/75/116/Egmating
60/09/1/75/118/Forstinning
60/09/1/75/119/Frauenneuharting
60/09/1/75/121/Glonn, Markt
60/09/1/75/122/Grafing b.München, Stadt
60/09/1/75/123/Hohenlinden
60/09/1/75/124/Kirchseeon, Markt
60/09/1/75/127/Markt Schwaben, Markt
60/09/1/75/128/Moosach
60/09/1/75/131/Oberpframmern
60/09/1/75/132/Vaterstetten
60/09/1/75/133/Pliening
60/09/1/75/135/Poing
60/09/1/75/136/Emmering
60/09/1/75/137/Steinhöring
60/09/1/75/139/Zorneding
60/09/1/75/444/Ebersberg, 3 gemfr. Gebiete
40/09/1/76//Eichstätt
60/09/1/76/111/Adelschlag
60/09/1/76/112/Altmannstein, Markt
60/09/1/76/114/Beilngries, Stadt
60/09/1/76/116/Böhmfeld
60/09/1/76/118/Buxheim
60/09/1/76/120/Denkendorf
60/09/1/76/121/Dollnstein, Markt
60/09/1/76/122/Egweil
60/09/1/76/123/Eichstätt, Stadt
60/09/1/76/124/Eitensheim
60/09/1/76/126/Gaimersheim, Markt
60/09/1/76/129/Großmehring
60/09/1/76/131/Hepberg
60/09/1/76/132/Hitzhofen
60/09/1/76/137/Kinding, Markt
60/09/1/76/138/Kipfenberg, Markt
60/09/1/76/139/Kösching, Markt
60/09/1/76/143/Lenting
60/09/1/76/147/Mindelstetten
60/09/1/76/148/Mörnsheim, Markt
60/09/1/76/149/Nassenfels, Markt
60/09/1/76/150/Oberdolling
60/09/1/76/153/Pförring, Markt
60/09/1/76/155/Pollenfeld
60/09/1/76/160/Schernfeld
60/09/1/76/161/Stammham
60/09/1/76/164/Titting, Markt
60/09/1/76/165/Walting
60/09/1/76/166/Wellheim, Markt
60/09/1/76/167/Wettstetten
60/09/1/76/444/Eichstätt, 1 gemfr. Gebiet
40/09/1/77//Erding
60/09/1/77/112/Berglern
60/09/1/77/113/Bockhorn
60/09/1/77/114/Buch a.Buchrain
60/09/1/77/115/Dorfen, Stadt
60/09/1/77/116/Eitting
60/09/1/77/117/Erding, Stadt
60/09/1/77/118/Finsing
60/09/1/77/119/Forstern
60/09/1/77/120/Fraunberg
60/09/1/77/121/Hohenpolding
60/09/1/77/122/Inning a.Holz
60/09/1/77/123/Isen, Markt
60/09/1/77/124/Kirchberg
60/09/1/77/126/Langenpreising
60/09/1/77/127/Lengdorf
60/09/1/77/130/Moosinning
60/09/1/77/131/Neuching
60/09/1/77/133/Oberding
60/09/1/77/134/Ottenhofen
60/09/1/77/135/Pastetten
60/09/1/77/137/Sankt Wolfgang
60/09/1/77/138/Steinkirchen
60/09/1/77/139/Taufkirchen (Vils)
60/09/1/77/142/Walpertskirchen
60/09/1/77/143/Wartenberg, Markt
60/09/1/77/144/Wörth
40/09/1/78//Freising
60/09/1/78/113/Allershausen
60/09/1/78/115/Attenkirchen
60/09/1/78/116/Au i.d.Hallertau, Markt
60/09/1/78/120/Eching
60/09/1/78/122/Rudelzhausen
60/09/1/78/123/Fahrenzhausen
60/09/1/78/124/Freising, Stadt
60/09/1/78/125/Gammelsdorf
60/09/1/78/129/Haag a.d.Amper
60/09/1/78/130/Hallbergmoos
60/09/1/78/132/Hörgertshausen
60/09/1/78/133/Hohenkammer
60/09/1/78/136/Kirchdorf a.d.Amper
60/09/1/78/137/Kranzberg
60/09/1/78/138/Langenbach
60/09/1/78/140/Marzling
60/09/1/78/142/Mauern
60/09/1/78/143/Moosburg a.d.Isar, Stadt
60/09/1/78/144/Nandlstadt, Markt
60/09/1/78/145/Neufahrn b.Freising
60/09/1/78/150/Paunzhausen
60/09/1/78/155/Wang
60/09/1/78/156/Wolfersdorf
60/09/1/78/157/Zolling
